dot_id,place,state,latitude,longitude,cafe_count_proxy,analysis_area_km2,cafes_per_100km2,dot_value_cafes
Sydney_1,Sydney,NSW,-33.868087,151.213799,4200,12367,34.0,5
Sydney_2,Sydney,NSW,-33.863101,151.202595,4200,12367,34.0,5
Sydney_3,Sydney,NSW,-33.877765,151.209671,4200,12367,34.0,5
Sydney_4,Sydney,NSW,-33.85807,151.217961,4200,12367,34.0,5
Sydney_5,Sydney,NSW,-33.870402,151.193616,4200,12367,34.0,5
Sydney_6,Sydney,NSW,-33.875357,151.224064,4200,12367,34.0,5
Sydney_7,Sydney,NSW,-33.853189,151.205438,4200,12367,34.0,5
Sydney_8,Sydney,NSW,-33.884057,151.199716,4200,12367,34.0,5
Sydney_9,Sydney,NSW,-33.860621,151.230401,4200,12367,34.0,5
Sydney_10,Sydney,NSW,-33.861246,151.185554,4200,12367,34.0,5
Sydney_11,Sydney,NSW,-33.886957,151.219425,4200,12367,34.0,5
Sydney_12,Sydney,NSW,-33.848368,151.215985,4200,12367,34.0,5
Sydney_13,Sydney,NSW,-33.878468,151.185417,4200,12367,34.0,5
Sydney_14,Sydney,NSW,-33.87184,151.236365,4200,12367,34.0,5
Sydney_15,Sydney,NSW,-33.849367,151.192815,4200,12367,34.0,5
Sydney_16,Sydney,NSW,-33.893914,151.2039,4200,12367,34.0,5
Sydney_17,Sydney,NSW,-33.852722,151.231848,4200,12367,34.0,5
Sydney_18,Sydney,NSW,-33.865488,151.175671,4200,12367,34.0,5
Sydney_19,Sydney,NSW,-33.888632,151.231149,4200,12367,34.0,5
Sydney_20,Sydney,NSW,-33.841592,151.208634,4200,12367,34.0,5
Sydney_21,Sydney,NSW,-33.891226,151.185204,4200,12367,34.0,5
Sydney_22,Sydney,NSW,-33.864632,151.244267,4200,12367,34.0,5
Sydney_23,Sydney,NSW,-33.849919,151.179691,4200,12367,34.0,5
Sydney_24,Sydney,NSW,-33.897559,151.219096,4200,12367,34.0,5
Sydney_25,Sydney,NSW,-33.840072,151.228865,4200,12367,34.0,5
Sydney_26,Sydney,NSW,-33.879017,151.174875,4200,12367,34.0,5
Sydney_27,Sydney,NSW,-33.883973,151.244285,4200,12367,34.0,5
Sydney_28,Sydney,NSW,-33.839183,151.19417,4200,12367,34.0,5
Sydney_29,Sydney,NSW,-33.899023,151.195313,4200,12367,34.0,5
Sydney_30,Sydney,NSW,-33.850596,151.245372,4200,12367,34.0,5
Sydney_31,Sydney,NSW,-33.858881,151.171053,4200,12367,34.0,5
Sydney_32,Sydney,NSW,-33.898945,151.231027,4200,12367,34.0,5
Sydney_33,Sydney,NSW,-33.832852,151.217481,4200,12367,34.0,5
Sydney_34,Sydney,NSW,-33.890356,151.176082,4200,12367,34.0,5
Sydney_35,Sydney,NSW,-33.871996,151.252264,4200,12367,34.0,5
Sydney_36,Sydney,NSW,-33.837703,151.178311,4200,12367,34.0,5
Sydney_37,Sydney,NSW,-33.908127,151.211219,4200,12367,34.0,5
Sydney_38,Sydney,NSW,-33.840875,151.241377,4200,12367,34.0,5
Sydney_39,Sydney,NSW,-33.87021,151.161277,4200,12367,34.0,5
Sydney_40,Sydney,NSW,-33.894448,151.246811,4200,12367,34.0,5
Sydney_41,Sydney,NSW,-33.830706,151.20234,4200,12367,34.0,5
Sydney_42,Sydney,NSW,-33.903407,151.181239,4200,12367,34.0,5
Sydney_43,Sydney,NSW,-33.856142,151.255415,4200,12367,34.0,5
Sydney_44,Sydney,NSW,-33.849184,151.160258,4200,12367,34.0,5
Sydney_45,Sydney,NSW,-33.907024,151.227106,4200,12367,34.0,5
Sydney_46,Sydney,NSW,-33.83082,151.229312,4200,12367,34.0,5
Sydney_47,Sydney,NSW,-33.887085,151.160884,4200,12367,34.0,5
Sydney_48,Sydney,NSW,-33.883968,151.261913,4200,12367,34.0,5
Sydney_49,Sydney,NSW,-33.829736,151.183645,4200,12367,34.0,5
Sydney_50,Sydney,NSW,-33.909303,151.19747,4200,12367,34.0,5
Sydney_51,Sydney,NSW,-33.841,151.252292,4200,12367,34.0,5
Sydney_52,Sydney,NSW,-33.864932,151.155656,4200,12367,34.0,5
Sydney_53,Sydney,NSW,-33.89921,151.245484,4200,12367,34.0,5
Sydney_54,Sydney,NSW,-33.820422,151.214626,4200,12367,34.0,5
Sydney_55,Sydney,NSW,-33.903609,151.171414,4200,12367,34.0,5
Sydney_56,Sydney,NSW,-33.863874,151.267754,4200,12367,34.0,5
Sydney_57,Sydney,NSW,-33.836323,151.168875,4200,12367,34.0,5
Sydney_58,Sydney,NSW,-33.917185,151.219396,4200,12367,34.0,5
Sydney_59,Sydney,NSW,-33.828353,151.243312,4200,12367,34.0,5
Sydney_60,Sydney,NSW,-33.87756,151.150002,4200,12367,34.0,5
Sydney_61,Sydney,NSW,-33.895367,151.262761,4200,12367,34.0,5
