dot_id,place,state,latitude,longitude,cafe_count_proxy,analysis_area_km2,cafes_per_100km2,dot_value_cafes,label_show,label_dx,label_dy
Sydney_1,Sydney,NSW,-33.867561,151.221063,4200,12367,34.0,20,true,18,-10
Sydney_2,Sydney,NSW,-33.85476,151.19389,4200,12367,34.0,20,true,18,-10
Sydney_3,Sydney,NSW,-33.893791,151.214071,4200,12367,34.0,20,true,18,-10
Sydney_4,Sydney,NSW,-33.844765,151.225429,4200,12367,34.0,20,true,18,-10
Sydney_5,Sydney,NSW,-33.872517,151.173142,4200,12367,34.0,20,true,18,-10
Sydney_6,Sydney,NSW,-33.890728,151.244639,4200,12367,34.0,20,true,18,-10
Sydney_7,Sydney,NSW,-33.830498,151.203835,4200,12367,34.0,20,true,18,-10
Sydney_8,Sydney,NSW,-33.907925,151.186836,4200,12367,34.0,20,true,18,-10
Sydney_9,Sydney,NSW,-33.855742,151.263979,4200,12367,34.0,20,true,18,-10
Sydney_10,Sydney,NSW,-33.855384,151.158867,4200,12367,34.0,20,true,18,-10
Sydney_11,Sydney,NSW,-33.914322,151.241969,4200,12367,34.0,20,true,18,-10
Sydney_12,Sydney,NSW,-33.821405,151.229747,4200,12367,34.0,20,true,18,-10
Sydney_13,Sydney,NSW,-33.901547,151.157884,4200,12367,34.0,20,true,18,-10
Sydney_14,Sydney,NSW,-33.885907,151.269136,4200,12367,34.0,20,true,18,-10
Sydney_15,Sydney,NSW,-33.821517,151.159708,4200,12367,34.0,20,true,18,-10
Sydney_16,Sydney,NSW,-33.933787,151.206434,4200,12367,34.0,20,true,18,-10
Sydney_17,Sydney,NSW,-33.821319,151.274186,4200,12367,34.0,20,true,18,-10
Sydney_18,Sydney,NSW,-33.862659,151.128251,4200,12367,34.0,20,true,18,-10
Sydney_19,Sydney,NSW,-33.912104,151.274755,4200,12367,34.0,20,true,18,-10
Sydney_20,Sydney,NSW,-33.797507,151.195313,4200,12367,34.0,20,true,18,-10
Sydney_21,Sydney,NSW,-33.920104,151.163136,4200,12367,34.0,20,true,18,-10
Sydney_22,Sydney,NSW,-33.864615,151.293402,4200,12367,34.0,20,true,18,-10
Sydney_23,Sydney,NSW,-33.82026,151.146019,4200,12367,34.0,20,true,18,-10
Sydney_24,Sydney,NSW,-33.940818,151.217439,4200,12367,34.0,20,true,18,-10
Sydney_25,Sydney,NSW,-33.800292,151.251217,4200,12367,34.0,20,true,18,-10
