latitude,longitude,kde,kde_norm
-44.0,133.7971,0.605,0.99
-44.0,134.3913,0.812,1.33
-44.0,134.9855,1.073,1.76
-44.0,135.5797,1.395,2.29
-44.0,136.1739,1.784,2.93
-44.0,136.7681,2.245,3.68
-44.0,137.3623,2.781,4.56
-44.0,137.9565,3.389,5.56
-44.0,138.5507,4.065,6.67
-44.0,139.1449,4.799,7.87
-44.0,139.7391,5.576,9.15
-44.0,140.3333,6.38,10.47
-44.0,140.9275,7.192,11.8
-44.0,141.5217,7.999,13.12
-44.0,142.1159,8.79,14.42
-44.0,142.7101,9.568,15.7
-44.0,143.3043,10.343,16.97
-44.0,143.8986,11.125,18.25
-44.0,144.4928,11.908,19.53
-44.0,145.087,12.651,20.75
-44.0,145.6812,13.268,21.77
-44.0,146.2754,13.64,22.38
-44.0,146.8696,13.644,22.38
-44.0,147.4638,13.203,21.66
-44.0,148.058,12.32,20.21
-44.0,148.6522,11.084,18.18
-44.0,149.2464,9.643,15.82
-44.0,149.8406,8.16,13.39
-44.0,150.4348,6.763,11.09
-44.0,151.029,5.532,9.08
-44.0,151.6232,4.49,7.37
-44.0,152.2174,3.63,5.95
-44.0,152.8116,2.923,4.8
-44.0,153.4058,2.341,3.84
-44.0,154.0,1.861,3.05
-43.4322,133.2029,0.567,0.93
-43.4322,133.7971,0.773,1.27
-43.4322,134.3913,1.038,1.7
-43.4322,134.9855,1.371,2.25
-43.4322,135.5797,1.783,2.92
-43.4322,136.1739,2.28,3.74
-43.4322,136.7681,2.87,4.71
-43.4322,137.3623,3.554,5.83
-43.4322,137.9565,4.332,7.11
-43.4322,138.5507,5.196,8.52
-43.4322,139.1449,6.133,10.06
-43.4322,139.7391,7.127,11.69
-43.4322,140.3333,8.154,13.38
-43.4322,140.9275,9.194,15.08
-43.4322,141.5217,10.225,16.77
-43.4322,142.1159,11.238,18.44
-43.4322,142.7101,12.235,20.07
-43.4322,143.3043,13.231,21.71
-43.4322,143.8986,14.24,23.36
-43.4322,144.4928,15.256,25.03
-43.4322,145.087,16.227,26.62
-43.4322,145.6812,17.043,27.96
-43.4322,146.2754,17.543,28.78
-43.4322,146.8696,17.566,28.82
-43.4322,147.4638,17.008,27.9
-43.4322,148.058,15.874,26.04
-43.4322,148.6522,14.284,23.43
-43.4322,149.2464,12.433,20.4
-43.4322,149.8406,10.531,17.28
-43.4322,150.4348,8.746,14.35
-43.4322,151.029,7.175,11.77
-43.4322,151.6232,5.848,9.59
-43.4322,152.2174,4.748,7.79
-43.4322,152.8116,3.842,6.3
-43.4322,153.4058,3.093,5.07
-43.4322,154.0,2.471,4.05
-42.8644,132.6087,0.51,0.84
-42.8644,133.2029,0.708,1.16
-42.8644,133.7971,0.966,1.58
-42.8644,134.3913,1.296,2.13
-42.8644,134.9855,1.713,2.81
-42.8644,135.5797,2.226,3.65
-42.8644,136.1739,2.848,4.67
-42.8644,136.7681,3.584,5.88
-42.8644,137.3623,4.439,7.28
-42.8644,137.9565,5.41,8.87
-42.8644,138.5507,6.489,10.65
-42.8644,139.1449,7.659,12.56
-42.8644,139.7391,8.899,14.6
-42.8644,140.3333,10.182,16.7
-42.8644,140.9275,11.478,18.83
-42.8644,141.5217,12.762,20.94
-42.8644,142.1159,14.017,22.99
-42.8644,142.7101,15.244,25.01
-42.8644,143.3043,16.455,26.99
-42.8644,143.8986,17.666,28.98
-42.8644,144.4928,18.871,30.96
-42.8644,145.087,20.011,32.83
-42.8644,145.6812,20.955,34.38
-42.8644,146.2754,21.518,35.3
-42.8644,146.8696,21.508,35.28
-42.8644,147.4638,20.808,34.13
-42.8644,148.058,19.425,31.87
-42.8644,148.6522,17.508,28.72
-42.8644,149.2464,15.29,25.08
-42.8644,149.8406,13.02,21.36
-42.8644,150.4348,10.89,17.86
-42.8644,151.029,9.009,14.78
-42.8644,151.6232,7.408,12.15
-42.8644,152.2174,6.068,9.95
-42.8644,152.8116,4.951,8.12
-42.8644,153.4058,4.015,6.59
-42.8644,154.0,3.229,5.3
-42.2966,132.6087,0.623,1.02
-42.2966,133.2029,0.864,1.42
-42.2966,133.7971,1.179,1.93
-42.2966,134.3913,1.583,2.6
-42.2966,134.9855,2.091,3.43
-42.2966,135.5797,2.719,4.46
-42.2966,136.1739,3.478,5.71
-42.2966,136.7681,4.377,7.18
-42.2966,137.3623,5.421,8.89
-42.2966,137.9565,6.606,10.84
-42.2966,138.5507,7.922,13.0
-42.2966,139.1449,9.349,15.34
-42.2966,139.7391,10.861,17.82
-42.2966,140.3333,12.425,20.38
-42.2966,140.9275,14.004,22.97
-42.2966,141.5217,15.563,25.53
-42.2966,142.1159,17.077,28.01
-42.2966,142.7101,18.536,30.41
-42.2966,143.3043,19.945,32.72
-42.2966,143.8986,21.314,34.97
