franchise,city,state,latitude,longitude,total_locations,norm_per_100,dot_represents
Gloria Jean's,Sydney,NSW,-33.86185,151.19824,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.83457,151.2094,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.8684,151.20903,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.91842,151.18241,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.88245,151.13873,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.85641,151.18299,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.88437,151.18612,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.78398,151.1091,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.85942,151.19681,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.89282,151.19018,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.92613,151.25984,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.88865,151.07264,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.92311,151.21929,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.85709,151.20739,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.86568,151.26729,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.90267,151.01831,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.8534,151.1366,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.87453,151.26238,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.84703,151.18876,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.76364,151.28787,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.99534,151.25027,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.89911,151.31088,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.878,151.20139,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.86754,151.20567,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.9146,151.23527,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.85319,151.23872,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.82144,151.18687,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.86826,151.20688,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.86383,151.21061,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.85015,151.21431,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.78972,151.20451,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.82514,151.16957,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.89264,151.19831,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.87851,151.22001,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.86878,151.20769,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.82625,151.13161,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.85577,151.23024,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.84357,151.22338,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.85301,151.22291,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.93674,151.21976,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.88317,151.21468,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.88868,151.22117,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.82987,151.22855,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.87839,151.18805,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.8645,151.22266,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.91764,151.23823,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.84068,151.16406,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.85276,151.23688,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.92244,151.27844,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.84322,151.16869,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.85741,151.17427,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.93011,151.15704,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.80958,151.18081,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.80568,151.224,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.88611,151.21752,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.83185,151.19594,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.92064,151.2096,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.87454,151.24302,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.74601,151.20326,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.86971,151.21105,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.99066,151.24516,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.84126,151.20762,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.9148,151.27023,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.89643,151.16814,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.83546,151.20094,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.87347,151.29139,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.9121,151.17839,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.88108,151.22744,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.83256,151.17984,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.88447,151.29684,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.85161,151.21635,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.8908,151.1863,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.87211,151.20573,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.75655,151.2249,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.89257,151.23364,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.83771,151.25181,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.87757,151.15199,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Sydney,NSW,-33.86835,151.20878,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.82892,151.00074,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.80662,150.97348,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.81477,151.00108,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.80977,150.97008,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.8182,150.98151,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.83039,151.00276,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.816,151.00114,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.81309,151.00395,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.78163,150.98582,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.80513,150.9804,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.7883,150.97112,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.8222,150.98696,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.81301,151.0003,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.86271,151.01715,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.81003,150.99293,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Parramatta,NSW,-33.80366,151.01407,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Newcastle,NSW,-32.90646,151.7989,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Newcastle,NSW,-32.93781,151.77135,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Newcastle,NSW,-32.92326,151.76501,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Newcastle,NSW,-32.92516,151.775,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Newcastle,NSW,-32.89817,151.7697,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Newcastle,NSW,-32.91804,151.76194,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Newcastle,NSW,-32.94294,151.78431,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Newcastle,NSW,-32.93239,151.78157,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Newcastle,NSW,-32.93418,151.78382,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Newcastle,NSW,-32.92735,151.77653,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Newcastle,NSW,-32.92527,151.77521,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Newcastle,NSW,-32.92738,151.7746,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Newcastle,NSW,-32.92751,151.7591,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Wollongong,NSW,-34.4311,150.8746,400,14.47,1 dot ≈ 1 location
Gloria Jean's,Wollongong,NSW,-34.42618,150.88042,400,14.47,1 dot ≈ 1 location
