census_year,block_id,clue_small_area,food_and_beverage_services
2024,17,Melbourne (CBD),30
2024,18,Melbourne (CBD),9
2024,21,Melbourne (CBD),18
2024,22,Melbourne (CBD),17
2024,25,Melbourne (CBD),26
2024,27,Melbourne (CBD),13
2024,28,Melbourne (CBD),21
2024,36,Melbourne (CBD),8
2024,37,Melbourne (CBD),13
2024,38,Melbourne (CBD),18
2024,47,Melbourne (CBD),22
2024,52,Melbourne (CBD),26
2024,53,Melbourne (CBD),19
2024,54,Melbourne (CBD),31
2024,61,Melbourne (CBD),22
2024,62,Melbourne (CBD),12
2024,63,Melbourne (CBD),9
2024,68,Melbourne (CBD),15
2024,82,Melbourne (CBD),12
2024,87,Melbourne (CBD),16
2024,92,West Melbourne (Residential),0
2024,97,Melbourne (CBD),3
2024,98,Melbourne (CBD),0
2024,104,Melbourne (CBD),21
2024,111,West Melbourne (Residential),0
2024,113,Melbourne (CBD),29
2024,115,Melbourne (CBD),13
2024,201,Carlton,0
2024,202,Carlton,0
2024,206,Carlton,10
2024,213,Carlton,0
2024,217,Carlton,13
2024,220,Carlton,0
2024,224,Carlton,2
2024,225,Carlton,5
2024,227,Carlton,3
2024,228,Carlton,0
2024,231,Carlton,0
2024,232,Carlton,3
2024,237,Carlton,0
2024,240,Carlton,3
2024,243,Carlton,6
2024,245,Carlton,11
2024,246,Carlton,18
2024,249,Carlton,0
2024,251,Carlton,1
2024,259,Carlton,1
2024,263,Carlton,4
2024,267,Carlton,2
2024,268,Carlton,1
2024,274,Carlton,1
2024,305,North Melbourne,0
2024,307,North Melbourne,0
2024,309,North Melbourne,3
2024,310,North Melbourne,1
2024,318,North Melbourne,0
2024,319,North Melbourne,2
2024,320,North Melbourne,0
2024,323,North Melbourne,0
2024,328,North Melbourne,0
2024,331,North Melbourne,0
2024,336,North Melbourne,0
2024,338,North Melbourne,0
2024,340,North Melbourne,1
2024,343,North Melbourne,0
2024,344,North Melbourne,2
2024,345,North Melbourne,18
2024,347,North Melbourne,2
2024,356,North Melbourne,3
2024,359,North Melbourne,1
2024,361,North Melbourne,6
2024,363,North Melbourne,1
2024,367,North Melbourne,0
2024,370,North Melbourne,1
2024,376,North Melbourne,5
2024,404,West Melbourne (Residential),0
