country,region,tonnes_2022,tonnes_2023,tonnes_2024,share_pct_2024,unit,note
Colombia,South America,2180,2340,2510,30,tonnes,Australia coffee imports; values already expressed in tonnes.
India,Asia,1210,1390,1560,17,tonnes,Australia coffee imports; values already expressed in tonnes.
Ethiopia,Africa,980,1100,1250,14,tonnes,Australia coffee imports; values already expressed in tonnes.
Brazil,South America,720,810,890,10,tonnes,Australia coffee imports; values already expressed in tonnes.
Vietnam,Asia,540,610,670,8,tonnes,Australia coffee imports; values already expressed in tonnes.
Papua New Guinea,Oceania,430,480,510,6,tonnes,Australia coffee imports; values already expressed in tonnes.
Indonesia,Asia,310,350,390,4,tonnes,Australia coffee imports; values already expressed in tonnes.
Peru,South America,220,260,290,3,tonnes,Australia coffee imports; values already expressed in tonnes.
Guatemala,Central America,180,200,220,2,tonnes,Australia coffee imports; values already expressed in tonnes.
Kenya,Africa,160,175,190,2,tonnes,Australia coffee imports; values already expressed in tonnes.
Other,Various,420,450,480,4,tonnes,Australia coffee imports; values already expressed in tonnes.
