benefit,benefit_order,unit_index,is_filled,color,count
Alertness,0,0,1,#C8623F,84
Alertness,0,1,1,#C8623F,84
Alertness,0,2,1,#C8623F,84
Alertness,0,3,1,#C8623F,84
Alertness,0,4,1,#C8623F,84
Alertness,0,5,1,#C8623F,84
Alertness,0,6,1,#C8623F,84
Alertness,0,7,1,#C8623F,84
Alertness,0,8,0,#C8623F,84
Alertness,0,9,0,#C8623F,84
Social ritual,1,0,1,#B8860B,71
Social ritual,1,1,1,#B8860B,71
Social ritual,1,2,1,#B8860B,71
Social ritual,1,3,1,#B8860B,71
Social ritual,1,4,1,#B8860B,71
Social ritual,1,5,1,#B8860B,71
Social ritual,1,6,1,#B8860B,71
Social ritual,1,7,0,#B8860B,71
Social ritual,1,8,0,#B8860B,71
Social ritual,1,9,0,#B8860B,71
Morning routine,2,0,1,#8B6914,68
Morning routine,2,1,1,#8B6914,68
Morning routine,2,2,1,#8B6914,68
Morning routine,2,3,1,#8B6914,68
Morning routine,2,4,1,#8B6914,68
Morning routine,2,5,1,#8B6914,68
Morning routine,2,6,0,#8B6914,68
Morning routine,2,7,0,#8B6914,68
Morning routine,2,8,0,#8B6914,68
Morning routine,2,9,0,#8B6914,68
Antioxidants,3,0,1,#6B8C5A,52
Antioxidants,3,1,1,#6B8C5A,52
Antioxidants,3,2,1,#6B8C5A,52
Antioxidants,3,3,1,#6B8C5A,52
Antioxidants,3,4,1,#6B8C5A,52
Antioxidants,3,5,0,#6B8C5A,52
Antioxidants,3,6,0,#6B8C5A,52
Antioxidants,3,7,0,#6B8C5A,52
Antioxidants,3,8,0,#6B8C5A,52
Antioxidants,3,9,0,#6B8C5A,52
Mood lift,4,0,1,#B85430,63
Mood lift,4,1,1,#B85430,63
Mood lift,4,2,1,#B85430,63
Mood lift,4,3,1,#B85430,63
Mood lift,4,4,1,#B85430,63
Mood lift,4,5,1,#B85430,63
Mood lift,4,6,0,#B85430,63
Mood lift,4,7,0,#B85430,63
Mood lift,4,8,0,#B85430,63
Mood lift,4,9,0,#B85430,63
