flow_id,year,origin,origin_iso3,origin_region,origin_lat,origin_lon,destination,destination_iso3,destination_region,destination_lat,destination_lon,dest_consumption_kg_per_capita,total_dest_import_volume_tonnes,import_volume_tonnes,link_width_group,source_note,import_share_of_destination_pct,dest_node_size,link_width
DEU_BRA_2023,2023,Brazil,BRA,South America,-14.235,-51.9253,Germany,DEU,Europe,51.1657,10.4515,5.4,698600,376648,Very large,"WITS/UN Comtrade HS090111 exports to Germany, 2023",53.9,458.0,6.83
DEU_VNM_2023,2023,Vietnam,VNM,Asia,14.0583,108.2772,Germany,DEU,Europe,51.1657,10.4515,5.4,698600,155843,Large,"WITS/UN Comtrade HS090111 exports to Germany, 2023",22.3,458.0,3.29
DEU_HND_2023,2023,Honduras,HND,Central America,15.2,-86.2419,Germany,DEU,Europe,51.1657,10.4515,5.4,698600,67086,Medium,"WITS/UN Comtrade HS090111 exports to Germany, 2023",9.6,458.0,1.87
DEU_COL_2023,2023,Colombia,COL,South America,4.5709,-74.2973,Germany,DEU,Europe,51.1657,10.4515,5.4,698600,41255,Medium,"WITS/UN Comtrade HS090111 exports to Germany, 2023",5.9,458.0,1.46
DEU_UGA_2023,2023,Uganda,UGA,Africa,1.3733,32.2903,Germany,DEU,Europe,51.1657,10.4515,5.4,698600,57769,Medium,"WITS/UN Comtrade HS090111 exports to Germany, 2023",8.3,458.0,1.72
USA_BRA_2023,2023,Brazil,BRA,South America,-14.235,-51.9253,United States,USA,North America,37.0902,-95.7129,5.0,1390000,500000,Very large,Estimated from 2023 unroasted coffee supplier pattern; USDA ERS notes Brazil and Colombia are dominant Latin American suppliers,36.0,430.0,8.8
USA_COL_2023,2023,Colombia,COL,South America,4.5709,-74.2973,United States,USA,North America,37.0902,-95.7129,5.0,1390000,390000,Very large,Estimated from 2023 unroasted coffee supplier pattern; USDA ERS notes Colombia is a major U.S. supplier,28.1,430.0,7.04
USA_VNM_2023,2023,Vietnam,VNM,Asia,14.0583,108.2772,United States,USA,North America,37.0902,-95.7129,5.0,1390000,125000,Large,Estimated top supplier flow for visualisation,9.0,430.0,2.8
USA_HND_2023,2023,Honduras,HND,Central America,15.2,-86.2419,United States,USA,North America,37.0902,-95.7129,5.0,1390000,90000,Medium,Estimated top supplier flow for visualisation,6.5,430.0,2.24
USA_GTM_2023,2023,Guatemala,GTM,Central America,15.7835,-90.2308,United States,USA,North America,37.0902,-95.7129,5.0,1390000,75000,Medium,Estimated top supplier flow for visualisation,5.4,430.0,2.0
