Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),36,Australia,5611,Import quantity,S2630,Coffee and products,2016,2016,1000 t,232,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5072,Stock Variation,S2630,Coffee and products,2016,2016,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5911,Export quantity,S2630,Coffee and products,2016,2016,1000 t,35,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5301,Domestic supply quantity,S2630,Coffee and products,2016,2016,1000 t,197,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5131,Processing,S2630,Coffee and products,2016,2016,1000 t,2,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5170,Residuals,S2630,Coffee and products,2016,2016,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5142,Food,S2630,Coffee and products,2016,2016,1000 t,195,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,645,Food supply quantity (kg/capita/yr),S2630,Coffee and products,2016,2016,kg/cap,8.03,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,664,Food supply (kcal/capita/day),S2630,Coffee and products,2016,2016,kcal/cap/d,9.25,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,661,Food supply (kcal),S2630,Coffee and products,2016,2016,million Kcal,82129.01,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,674,Protein supply quantity (g/capita/day),S2630,Coffee and products,2016,2016,g/cap/d,0.42,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,671,Protein supply quantity (t),S2630,Coffee and products,2016,2016,t,3721.28,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,684,Fat supply quantity (g/capita/day),S2630,Coffee and products,2016,2016,g/cap/d,0.1,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,681,Fat supply quantity (t),S2630,Coffee and products,2016,2016,t,902.7,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5611,Import quantity,S2630,Coffee and products,2017,2017,1000 t,173,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5072,Stock Variation,S2630,Coffee and products,2017,2017,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5911,Export quantity,S2630,Coffee and products,2017,2017,1000 t,39,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5301,Domestic supply quantity,S2630,Coffee and products,2017,2017,1000 t,134,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5131,Processing,S2630,Coffee and products,2017,2017,1000 t,2,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5170,Residuals,S2630,Coffee and products,2017,2017,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5142,Food,S2630,Coffee and products,2017,2017,1000 t,132,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,645,Food supply quantity (kg/capita/yr),S2630,Coffee and products,2017,2017,kg/cap,5.32,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,664,Food supply (kcal/capita/day),S2630,Coffee and products,2017,2017,kcal/cap/d,5,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,661,Food supply (kcal),S2630,Coffee and products,2017,2017,million Kcal,45145.13,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,674,Protein supply quantity (g/capita/day),S2630,Coffee and products,2017,2017,g/cap/d,0.21,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,671,Protein supply quantity (t),S2630,Coffee and products,2017,2017,t,1925.3,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,684,Fat supply quantity (g/capita/day),S2630,Coffee and products,2017,2017,g/cap/d,0.1,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,681,Fat supply quantity (t),S2630,Coffee and products,2017,2017,t,880.26,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5611,Import quantity,S2630,Coffee and products,2018,2018,1000 t,169,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5072,Stock Variation,S2630,Coffee and products,2018,2018,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5911,Export quantity,S2630,Coffee and products,2018,2018,1000 t,34,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5301,Domestic supply quantity,S2630,Coffee and products,2018,2018,1000 t,135,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5131,Processing,S2630,Coffee and products,2018,2018,1000 t,2,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5170,Residuals,S2630,Coffee and products,2018,2018,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5142,Food,S2630,Coffee and products,2018,2018,1000 t,133,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,645,Food supply quantity (kg/capita/yr),S2630,Coffee and products,2018,2018,kg/cap,5.29,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,664,Food supply (kcal/capita/day),S2630,Coffee and products,2018,2018,kcal/cap/d,5.33,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,661,Food supply (kcal),S2630,Coffee and products,2018,2018,million Kcal,48897.4,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,674,Protein supply quantity (g/capita/day),S2630,Coffee and products,2018,2018,g/cap/d,0.23,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,671,Protein supply quantity (t),S2630,Coffee and products,2018,2018,t,2108.16,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,684,Fat supply quantity (g/capita/day),S2630,Coffee and products,2018,2018,g/cap/d,0.1,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,681,Fat supply quantity (t),S2630,Coffee and products,2018,2018,t,880.48,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5611,Import quantity,S2630,Coffee and products,2019,2019,1000 t,179,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5072,Stock Variation,S2630,Coffee and products,2019,2019,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5911,Export quantity,S2630,Coffee and products,2019,2019,1000 t,28,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5301,Domestic supply quantity,S2630,Coffee and products,2019,2019,1000 t,151,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5131,Processing,S2630,Coffee and products,2019,2019,1000 t,2,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5170,Residuals,S2630,Coffee and products,2019,2019,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5142,Food,S2630,Coffee and products,2019,2019,1000 t,149,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,645,Food supply quantity (kg/capita/yr),S2630,Coffee and products,2019,2019,kg/cap,5.83,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,664,Food supply (kcal/capita/day),S2630,Coffee and products,2019,2019,kcal/cap/d,6.06,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,661,Food supply (kcal),S2630,Coffee and products,2019,2019,million Kcal,56406.44,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,674,Protein supply quantity (g/capita/day),S2630,Coffee and products,2019,2019,g/cap/d,0.26,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,671,Protein supply quantity (t),S2630,Coffee and products,2019,2019,t,2458.78,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,684,Fat supply quantity (g/capita/day),S2630,Coffee and products,2019,2019,g/cap/d,0.1,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,681,Fat supply quantity (t),S2630,Coffee and products,2019,2019,t,929.85,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5611,Import quantity,S2630,Coffee and products,2020,2020,1000 t,184,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5072,Stock Variation,S2630,Coffee and products,2020,2020,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5911,Export quantity,S2630,Coffee and products,2020,2020,1000 t,29,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5301,Domestic supply quantity,S2630,Coffee and products,2020,2020,1000 t,155,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5131,Processing,S2630,Coffee and products,2020,2020,1000 t,2,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5170,Residuals,S2630,Coffee and products,2020,2020,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5142,Food,S2630,Coffee and products,2020,2020,1000 t,153,I,Value imputed by a receiving agency,
