venue_id,census_year,suburb,latitude,longitude,seating_type,seats
1,2014,CBD,-37.807263,144.964255,Seats - Indoor,27
2,2014,CBD,-37.821104,144.945706,Seats - Indoor,68
3,2014,CBD,-37.810122,144.96391,Seats - Indoor,17
4,2014,CBD,-37.825365,144.95762,Seats - Outdoor,34
5,2014,CBD,-37.811629,144.975162,Seats - Both,20
6,2014,CBD,-37.813339,144.957682,Seats - Indoor,49
7,2014,CBD,-37.802361,144.982242,Seats - Indoor,25
8,2014,CBD,-37.819097,144.969042,Seats - Indoor,47
9,2014,CBD,-37.809054,144.949166,Seats - Outdoor,32
10,2014,CBD,-37.807736,144.966741,Seats - Outdoor,31
11,2014,CBD,-37.824646,144.956389,Seats - Indoor,43
12,2014,CBD,-37.810245,144.93667,Seats - Both,32
13,2014,CBD,-37.820015,144.970016,Seats - Both,40
14,2014,CBD,-37.81736,144.967694,Seats - Indoor,23
15,2014,CBD,-37.817394,144.959531,Seats - Outdoor,18
16,2014,CBD,-37.819769,144.964814,Seats - Both,108
17,2014,CBD,-37.824984,144.958205,Seats - Both,119
18,2014,CBD,-37.79965,144.968983,Seats - Both,71
19,2014,CBD,-37.814213,144.969394,Seats - Both,111
20,2014,CBD,-37.818216,144.975436,Seats - Indoor,72
21,2014,CBD,-37.810865,144.967045,Seats - Outdoor,24
22,2014,CBD,-37.813759,144.953371,Seats - Outdoor,31
23,2014,CBD,-37.808288,144.994397,Seats - Outdoor,13
24,2014,CBD,-37.813023,144.944832,Seats - Indoor,34
25,2014,CBD,-37.81141,144.953799,Seats - Indoor,62
26,2014,CBD,-37.821006,144.957242,Seats - Indoor,15
27,2014,CBD,-37.815274,144.95899,Seats - Both,116
28,2014,CBD,-37.814808,144.976195,Seats - Indoor,69
29,2014,CBD,-37.813248,144.963722,Seats - Outdoor,24
30,2014,CBD,-37.800256,144.960361,Seats - Outdoor,14
31,2014,CBD,-37.808973,144.957471,Seats - Outdoor,20
32,2014,CBD,-37.805824,144.975882,Seats - Outdoor,8
33,2014,CBD,-37.821131,144.956895,Seats - Indoor,60
34,2014,CBD,-37.802674,144.95111,Seats - Indoor,21
35,2014,CBD,-37.813006,144.97499,Seats - Indoor,76
36,2014,CBD,-37.804692,144.93984,Seats - Outdoor,16
37,2014,CBD,-37.807314,144.970644,Seats - Outdoor,24
38,2014,CBD,-37.824363,144.960926,Seats - Both,89
39,2014,CBD,-37.813195,144.94903,Seats - Outdoor,33
40,2014,CBD,-37.802015,144.962694,Seats - Indoor,80
41,2014,CBD,-37.81936,144.965184,Seats - Indoor,16
42,2014,CBD,-37.818518,144.959595,Seats - Indoor,23
43,2014,CBD,-37.81433,144.960007,Seats - Indoor,18
44,2014,CBD,-37.81165,144.960377,Seats - Indoor,76
45,2014,CBD,-37.81265,144.967878,Seats - Both,93
46,2014,CBD,-37.818898,144.959937,Seats - Indoor,66
47,2014,CBD,-37.812279,144.966967,Seats - Indoor,68
48,2014,CBD,-37.827148,144.972837,Seats - Indoor,26
49,2014,CBD,-37.801612,144.96862,Seats - Both,33
50,2014,CBD,-37.813556,144.969076,Seats - Indoor,68
51,2014,CBD,-37.809981,144.972471,Seats - Both,29
52,2014,CBD,-37.828498,144.969497,Seats - Outdoor,11
53,2014,CBD,-37.819356,144.953727,Seats - Indoor,25
54,2014,CBD,-37.799687,144.95512,Seats - Indoor,76
55,2014,CBD,-37.82949,144.96525,Seats - Both,41
