rank,name,short_name,origin,badge,source_price_usd_per_kg,price_aud_approx,bean_count,price_label,au_favourite,source_note,source_url,bean_index,bean_col,bean_row,bean_unit_aud,full_label
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,1,0,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,2,1,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,3,2,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,4,3,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,5,4,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,6,5,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,7,6,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,8,7,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,9,8,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,10,9,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,11,10,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,12,11,0,1000,#1 Esmeralda Geisha
