census_year,clue_small_area,venue_count,total_seats,avg_lat,avg_lon,outdoor_seats,avg_seats_per_venue,outdoor_seat_share_pct,venue_share_pct,venue_index_0_100
2002,Carlton,151,12924,-37.80087888008333,144.96674356914167,2223,85.6,17.2,12.7,19.5
2002,Docklands,17,5201,-37.81682775708333,144.94685686720834,226,305.9,4.3,1.4,2.0
2002,East Melbourne,28,4213,-37.813272577435896,144.98213268366666,180,150.5,4.3,2.4,3.4
2002,Kensington,6,3874,-37.79270313125,144.922497981625,32,645.7,0.8,0.5,0.5
2002,Melbourne (CBD),765,63524,-37.81372395576097,144.96385222777778,5895,83.0,9.3,64.4,100.0
2002,Melbourne (Remainder),22,7063,-37.83798163837838,144.97827308451352,648,321.0,9.2,1.9,2.6
2002,North Melbourne,60,3326,-37.80247889455696,144.95033267989874,225,55.4,6.8,5.1,7.6
2002,Parkville,22,2014,-37.79493252533334,144.95807615083334,315,91.5,15.6,1.9,2.6
2002,Port Melbourne,2,91,-37.82257241666667,144.9210434546667,24,45.5,26.4,0.2,0.0
2002,South Yarra,7,638,-37.835312645,144.9811615276,68,91.1,10.7,0.6,0.7
2002,Southbank,63,8439,-37.8227059512,144.96390094498,1839,134.0,21.8,5.3,8.0
2002,West Melbourne (Industrial),9,509,-37.80756118692308,144.923431049,66,56.6,13.0,0.8,0.9
2002,West Melbourne (Residential),36,2375,-37.8080115588,144.95087518276,153,66.0,6.4,3.0,4.5
2003,Carlton,165,14081,-37.801032373686134,144.96654095163868,2785,85.3,19.8,13.4,21.4
2003,Docklands,31,7709,-37.816835354199995,144.94416259172,1086,248.7,14.1,2.5,3.8
2003,East Melbourne,31,5336,-37.81330388863636,144.98208778879547,299,172.1,5.6,2.5,3.8
2003,Kensington,6,3874,-37.7927023425,144.922498135625,32,645.7,0.8,0.5,0.5
2003,Melbourne (CBD),765,63524,-37.81374122054511,144.96381943956484,5895,83.0,9.3,62.1,100.0
2003,Melbourne (Remainder),22,7063,-37.83798163837838,144.97827308451352,648,321.0,9.2,1.8,2.6
2003,North Melbourne,69,4101,-37.80261854727273,144.95035199861616,402,59.4,9.8,5.6,8.8
2003,Parkville,23,2379,-37.795229082727275,144.95803626851514,348,103.4,14.6,1.9,2.8
2003,Port Melbourne,2,91,-37.82255566,144.92098773933336,24,45.5,26.4,0.2,0.0
2003,South Yarra,7,638,-37.835311882999996,144.9811608207,68,91.1,10.7,0.6,0.7
2003,Southbank,63,8439,-37.822706247,144.96390020854,1839,134.0,21.8,5.1,8.0
2003,West Melbourne (Industrial),9,457,-37.80667111307692,144.92234276692307,54,50.8,11.8,0.7,0.9
2003,West Melbourne (Residential),39,2461,-37.807973709636364,144.9509335352,182,63.1,7.4,3.2,4.8
2004,Carlton,165,14081,-37.801032373686134,144.96654095163868,2785,85.3,19.8,12.6,19.5
2004,Docklands,31,7709,-37.816835354199995,144.94416259172,1086,248.7,14.1,2.4,3.2
2004,East Melbourne,31,5336,-37.81330388863636,144.98208778879547,299,172.1,5.6,2.4,3.2
2004,Kensington,7,4080,-37.792955944545454,144.92485397936363,86,582.9,2.1,0.5,0.2
2004,Melbourne (CBD),824,68516,-37.81382512547093,144.96373137082801,8624,83.2,12.6,62.9,100.0
2004,Melbourne (Remainder),25,7610,-37.83835291565217,144.97815019773913,906,304.4,11.9,1.9,2.4
2004,North Melbourne,69,4101,-37.80261854727273,144.95035199861616,402,59.4,9.8,5.3,7.8
2004,Parkville,23,2379,-37.795229082727275,144.95803626851514,348,103.4,14.6,1.8,2.2
2004,Port Melbourne,5,416,-37.82513400181818,144.9156305958182,114,83.2,27.4,0.4,0.0
2004,South Yarra,8,625,-37.83508221538462,144.98133913823077,93,78.1,14.9,0.6,0.4
2004,Southbank,73,9047,-37.822811033584905,144.9640460426415,1866,123.9,20.6,5.6,8.3
2004,West Melbourne (Industrial),9,457,-37.80667111307692,144.92234276692307,54,50.8,11.8,0.7,0.5
2004,West Melbourne (Residential),39,2461,-37.807973709636364,144.9509335352,182,63.1,7.4,3.0,4.2
2005,Carlton,178,14652,-37.80097746080537,144.96656534512078,2931,82.3,20.0,12.5,19.7
2005,Docklands,67,11632,-37.81725815413793,144.9458323507931,2235,173.6,19.2,4.7,7.1
2005,East Melbourne,37,6840,-37.812702013,144.98179272988332,593,184.9,8.7,2.6,3.7
2005,Kensington,7,4080,-37.792955944545454,144.92485397936363,86,582.9,2.1,0.5,0.2
2005,Melbourne (CBD),881,70778,-37.81378430814672,144.96375034419614,9868,80.3,13.9,61.7,100.0
2005,Melbourne (Remainder),25,7610,-37.83835291565217,144.97815019773913,906,304.4,11.9,1.8,2.3
2005,North Melbourne,75,4466,-37.80273022284482,144.95047266947412,668,59.5,15.0,5.3,8.0
2005,Parkville,22,2447,-37.79405435352941,144.95769868691175,609,111.2,24.9,1.5,1.9
2005,Port Melbourne,5,416,-37.82513400181818,144.9156305958182,114,83.2,27.4,0.4,0.0
2005,South Yarra,8,625,-37.83508221538462,144.98133913823077,93,78.1,14.9,0.6,0.3
2005,Southbank,73,9047,-37.822811033584905,144.9640460426415,1866,123.9,20.6,5.1,7.8
2005,West Melbourne (Industrial),9,472,-37.80587603,144.92236607653845,62,52.4,13.1,0.6,0.5
2005,West Melbourne (Residential),40,2617,-37.80792932666667,144.95098691229822,204,65.4,7.8,2.8,4.0
2006,Carlton,178,14652,-37.800999679966665,144.96654591105,2931,82.3,20.0,12.0,18.6
2006,Docklands,67,11632,-37.81688209254717,144.94474892324527,2235,173.6,19.2,4.5,6.5
